topology,seed,noise,gamma,tick,size,lr2,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_R,mean_T,mean_E,mean_err,mean_self_pred_err
moore,20,0.12,0.0,1000,24,0.003,0.242437,0.937698,0.710183,0.325398,0.293323,0.689245,0.139074,0.6607,0.6923,0.061295,0.028518
moore,1,0.2,0.0,1000,24,0.003,0.198164,0.900586,0.701192,0.334522,0.245695,0.700694,0.107052,0.663105,0.637951,0.096261,0.042401
moore,2,0.2,0.0,1000,24,0.003,0.187192,0.875488,0.680819,0.342003,0.264453,0.688667,0.090526,0.662195,0.616072,0.097134,0.041792
moore,3,0.2,0.0,1000,24,0.003,0.193555,0.884576,0.707839,0.332498,0.255034,0.746133,0.101556,0.661301,0.638466,0.096,0.041907
moore,4,0.2,0.0,1000,24,0.003,0.209184,0.94915,0.704828,0.318319,0.257963,0.673224,0.118876,0.661909,0.624809,0.097798,0.042116
moore,5,0.2,0.0,1000,24,0.003,0.208532,0.871114,0.705692,0.341121,0.252402,0.79879,0.097501,0.659967,0.636239,0.099956,0.042512
moore,6,0.2,0.0,1000,24,0.003,0.210364,0.8962,0.731323,0.34085,0.256784,0.771275,0.096249,0.660858,0.606377,0.098351,0.042091
moore,7,0.2,0.0,1000,24,0.003,0.203381,0.909699,0.710019,0.333986,0.252606,0.731346,0.125254,0.662564,0.623274,0.096235,0.041463
moore,8,0.2,0.0,1000,24,0.003,0.196837,0.915453,0.703049,0.328222,0.249408,0.769048,0.093786,0.663478,0.639138,0.095961,0.042136
moore,9,0.2,0.0,1000,24,0.003,0.211845,0.908853,0.739548,0.340218,0.248656,0.804427,0.127657,0.662119,0.62634,0.097738,0.042232
moore,10,0.2,0.0,1000,24,0.003,0.217291,0.895143,0.709881,0.326875,0.256113,0.780605,0.113352,0.661248,0.622228,0.097235,0.04064
moore,11,0.2,0.0,1000,24,0.003,0.169603,0.935112,0.710665,0.34299,0.254346,0.644158,0.085522,0.662953,0.657648,0.094206,0.042176
moore,12,0.2,0.0,1000,24,0.003,0.196348,0.916608,0.714391,0.338185,0.250931,0.66462,0.120798,0.66427,0.627565,0.09495,0.04112
moore,13,0.2,0.0,1000,24,0.003,0.181416,0.916657,0.670522,0.336604,0.244417,0.779095,0.098863,0.66221,0.623284,0.099234,0.042396
moore,14,0.2,0.0,1000,24,0.003,0.207776,0.881643,0.692544,0.32604,0.251933,0.695993,0.098199,0.661372,0.600422,0.100364,0.040803
moore,15,0.2,0.0,1000,24,0.003,0.220655,0.898543,0.737869,0.339787,0.265409,0.749424,0.112463,0.66354,0.615461,0.098087,0.042098
moore,16,0.2,0.0,1000,24,0.003,0.206741,0.921166,0.71517,0.339234,0.251906,0.652543,0.105891,0.660371,0.630724,0.097132,0.04244
moore,17,0.2,0.0,1000,24,0.003,0.190517,0.884752,0.695068,0.336636,0.258083,0.682012,0.09844,0.665211,0.6229,0.099457,0.041741
moore,18,0.2,0.0,1000,24,0.003,0.21291,0.936801,0.744648,0.351686,0.24275,0.666264,0.104258,0.660288,0.649542,0.093107,0.041713
moore,19,0.2,0.0,1000,24,0.003,0.187364,0.93112,0.723661,0.340823,0.239085,0.67844,0.099699,0.661565,0.648736,0.097381,0.04201
moore,20,0.2,0.0,1000,24,0.003,0.243326,0.977305,0.718021,0.326204,0.265782,0.720093,0.123583,0.660289,0.596677,0.096823,0.042781
moore,1,0.3,0.0,1000,24,0.003,0.201443,0.893298,0.70628,0.334265,0.234223,0.73106,0.102306,0.66378,0.602808,0.141561,0.0607
moore,2,0.3,0.0,1000,24,0.003,0.193453,0.893281,0.69495,0.338463,0.254634,0.668769,0.089511,0.663232,0.574709,0.142592,0.059505
moore,3,0.3,0.0,1000,24,0.003,0.196932,0.89495,0.696052,0.332978,0.244075,0.74962,0.100039,0.662103,0.598008,0.140843,0.059789
moore,4,0.3,0.0,1000,24,0.003,0.21125,0.914658,0.714172,0.316469,0.248144,0.697044,0.116333,0.662691,0.581497,0.1438,0.060299
moore,5,0.3,0.0,1000,24,0.003,0.211144,0.868754,0.709389,0.341634,0.242439,0.800961,0.095378,0.659894,0.598939,0.146692,0.060832
moore,6,0.3,0.0,1000,24,0.003,0.215163,0.943373,0.729076,0.338571,0.247053,0.742362,0.089589,0.661092,0.562996,0.144678,0.060543
moore,7,0.3,0.0,1000,24,0.003,0.204532,0.900485,0.7146,0.335524,0.240233,0.714997,0.121769,0.662796,0.585886,0.140883,0.059069
moore,8,0.3,0.0,1000,24,0.003,0.196015,0.919195,0.68985,0.324847,0.238164,0.67016,0.086846,0.663533,0.603177,0.140295,0.060166
moore,9,0.3,0.0,1000,24,0.003,0.208145,0.914631,0.733005,0.335114,0.237049,0.739707,0.119815,0.662314,0.594606,0.144503,0.060569
moore,10,0.3,0.0,1000,24,0.003,0.216386,0.90319,0.698255,0.327419,0.244495,0.730136,0.105933,0.661757,0.583149,0.143038,0.057914
moore,11,0.3,0.0,1000,24,0.003,0.17001,0.959838,0.708026,0.342339,0.243428,0.642941,0.082688,0.662495,0.619639,0.138138,0.060462
moore,12,0.3,0.0,1000,24,0.003,0.195028,0.900887,0.717222,0.339569,0.238813,0.658925,0.117722,0.664198,0.589435,0.13905,0.058767
moore,13,0.3,0.0,1000,24,0.003,0.178224,0.927797,0.686266,0.333086,0.232893,0.791439,0.092099,0.662358,0.589257,0.146211,0.060505
moore,14,0.3,0.0,1000,24,0.003,0.209185,0.886136,0.691629,0.327964,0.241836,0.597257,0.09203,0.661815,0.561077,0.147521,0.058032
moore,15,0.3,0.0,1000,24,0.003,0.224371,0.893217,0.736727,0.345803,0.254043,0.740678,0.107816,0.663462,0.575351,0.14489,0.060153
moore,16,0.3,0.0,1000,24,0.003,0.209808,0.916426,0.728979,0.339387,0.240185,0.65431,0.103024,0.66045,0.594707,0.1428,0.060731
moore,17,0.3,0.0,1000,24,0.003,0.186993,0.913291,0.696332,0.338341,0.246229,0.652447,0.09081,0.665364,0.587198,0.145736,0.059631
moore,18,0.3,0.0,1000,24,0.003,0.215678,0.928098,0.753361,0.352983,0.232848,0.603017,0.102359,0.660444,0.614868,0.136585,0.059596
moore,19,0.3,0.0,1000,24,0.003,0.187934,0.93773,0.738636,0.339092,0.229948,0.668195,0.097772,0.661895,0.612969,0.142601,0.060083
moore,20,0.3,0.0,1000,24,0.003,0.243065,0.972041,0.711691,0.326198,0.253631,0.732788,0.116935,0.660367,0.55548,0.142167,0.061425
moore,1,0.04,0.01,1000,24,0.003,0.194217,0.904368,0.673923,0.323568,0.363539,0.785384,0.160594,0.660302,0.922934,0.030083,0.017565
moore,2,0.04,0.01,1000,24,0.003,0.175819,0.883137,0.705748,0.341916,0.359118,0.808118,0.13583,0.658681,0.921679,0.03015,0.017704
moore,3,0.04,0.01,1000,24,0.003,0.167508,0.869283,0.6807,0.32615,0.357734,0.73511,0.123538,0.659728,0.928866,0.030043,0.017593
moore,4,0.04,0.01,1000,24,0.003,0.193054,0.948335,0.673289,0.335885,0.362692,0.84476,0.155711,0.65822,0.924524,0.03002,0.017624
moore,5,0.04,0.01,1000,24,0.003,0.204769,0.899165,0.723537,0.342779,0.359699,0.813488,0.153433,0.659317,0.919378,0.03088,0.01755
moore,6,0.04,0.01,1000,24,0.003,0.191341,0.94333,0.726578,0.346313,0.359184,0.777151,0.164718,0.659699,0.919855,0.030445,0.017346
moore,7,0.04,0.01,1000,24,0.003,0.172496,0.961975,0.713542,0.352944,0.368346,0.876142,0.137632,0.658209,0.920364,0.030504,0.017939
moore,8,0.04,0.01,1000,24,0.003,0.207614,0.923671,0.726763,0.33534,0.366648,0.803077,0.165904,0.659312,0.919783,0.030774,0.017843
moore,9,0.04,0.01,1000,24,0.003,0.195405,0.896459,0.718201,0.337096,0.357476,0.921214,0.155292,0.662893,0.920932,0.02933,0.017648
moore,10,0.04,0.01,1000,24,0.003,0.197239,0.909998,0.679021,0.332138,0.364899,0.803273,0.151861,0.658063,0.92226,0.030051,0.01742
moore,11,0.04,0.01,1000,24,0.003,0.162569,0.891654,0.670568,0.333949,0.359285,0.84081,0.128791,0.659104,0.930199,0.030009,0.017468
moore,12,0.04,0.01,1000,24,0.003,0.182143,0.914249,0.670497,0.336783,0.35977,0.872376,0.141844,0.660695,0.92488,0.030258,0.017318
moore,13,0.04,0.01,1000,24,0.003,0.205177,0.898817,0.724891,0.352276,0.363205,0.745243,0.166763,0.660384,0.915189,0.030146,0.017872
moore,14,0.04,0.01,1000,24,0.003,0.211598,0.884277,0.71229,0.334252,0.355478,0.858819,0.171137,0.658632,0.917451,0.030507,0.0176
moore,15,0.04,0.01,1000,24,0.003,0.203328,0.89244,0.745556,0.331431,0.367492,0.811793,0.162764,0.661984,0.919988,0.029812,0.017827
moore,16,0.04,0.01,1000,24,0.003,0.218955,0.958232,0.729205,0.334039,0.374692,0.834827,0.172747,0.659888,0.920339,0.030105,0.017779
moore,17,0.04,0.01,1000,24,0.003,0.189805,0.897411,0.724466,0.343483,0.368396,0.874539,0.154479,0.659462,0.918693,0.030842,0.017672
moore,18,0.04,0.01,1000,24,0.003,0.189485,0.950842,0.728493,0.346397,0.350295,0.852428,0.139912,0.659499,0.924571,0.029433,0.017451
moore,19,0.04,0.01,1000,24,0.003,0.180077,0.950589,0.713849,0.354858,0.350329,0.784916,0.138802,0.658239,0.920413,0.030689,0.017528
moore,20,0.04,0.01,1000,24,0.003,0.216639,0.905868,0.707161,0.330731,0.371197,0.771167,0.168665,0.6605,0.921765,0.03056,0.017343
moore,1,0.08,0.01,1000,24,0.003,0.198176,0.955164,0.703173,0.330436,0.308411,0.688677,0.140901,0.661697,0.801637,0.044157,0.022275
moore,2,0.08,0.01,1000,24,0.003,0.176383,0.908945,0.695814,0.343665,0.315746,0.729233,0.111259,0.660186,0.796994,0.04462,0.022301
moore,3,0.08,0.01,1000,24,0.003,0.181963,0.916782,0.698094,0.324321,0.310306,0.710596,0.115829,0.660293,0.810914,0.044267,0.022247
moore,4,0.08,0.01,1000,24,0.003,0.198213,0.978731,0.677497,0.328056,0.312067,0.797986,0.136047,0.659868,0.803503,0.04461,0.022208
moore,5,0.08,0.01,1000,24,0.003,0.205633,0.917137,0.70786,0.342461,0.307852,0.765335,0.123653,0.660009,0.799047,0.045853,0.022332
moore,6,0.08,0.01,1000,24,0.003,0.198417,0.902273,0.697497,0.341465,0.310417,0.732286,0.135053,0.661083,0.790994,0.044939,0.021937
moore,7,0.08,0.01,1000,24,0.003,0.190233,0.918839,0.719088,0.342692,0.316041,0.759893,0.135509,0.659891,0.795189,0.044695,0.022338
