topology,seed,noise,tick,size,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_err,morans_i,entropy,phi_entropy,clusters_05,clusters_07
moore,13,0.04,500,12,0.239118,0.816218,0.713415,0.290682,0.398854,0.797568,0.030418,0.029134,3.5278,3.7477,10,6
moore,13,0.04,1000,12,0.167838,0.91964,0.701592,0.359551,0.350171,0.772894,0.02963,0.033439,3.8116,3.5249,8,8
moore,14,0.04,500,12,0.245457,0.913838,0.704376,0.331116,0.378734,0.784335,0.029241,0.094258,3.6382,3.5884,9,6
moore,14,0.04,1000,12,0.138422,0.939846,0.686394,0.331268,0.332768,0.759306,0.029189,0.081365,3.7309,3.5671,13,6
moore,15,0.04,500,12,0.183501,0.925186,0.696241,0.336373,0.350433,0.663427,0.03011,-0.008009,3.6479,3.7242,7,7
moore,15,0.04,1000,12,0.179048,0.929059,0.714395,0.362011,0.353485,0.743757,0.030608,0.044567,3.8304,3.5971,11,8
moore,16,0.04,500,12,0.15525,0.907006,0.750092,0.380169,0.361614,0.746743,0.02979,0.076056,3.9092,3.5016,9,8
moore,16,0.04,1000,12,0.118972,0.834492,0.615068,0.346799,0.381146,0.807676,0.030454,-0.031616,3.7574,3.6014,15,4
moore,17,0.04,500,12,0.167907,0.871617,0.700333,0.357446,0.359106,0.761299,0.029965,0.030588,3.8001,3.6796,8,5
moore,17,0.04,1000,12,0.2211,0.946445,0.7842,0.341267,0.396069,0.916472,0.028685,0.005909,3.7314,3.4584,12,8
moore,18,0.04,500,12,0.144814,0.829361,0.741696,0.38529,0.353129,0.706506,0.029911,-0.00361,3.8961,3.7144,14,6
moore,18,0.04,1000,12,0.17088,0.81182,0.6631,0.33683,0.352674,0.706547,0.029936,-0.090386,3.713,3.6809,14,3
moore,19,0.04,500,12,0.14007,0.766032,0.589608,0.305,0.345567,0.692039,0.033895,0.008879,3.5597,3.6752,11,2
moore,19,0.04,1000,12,0.142907,0.78734,0.67196,0.345427,0.322745,0.669153,0.028635,0.013024,3.7345,3.5202,8,5
moore,20,0.04,500,12,0.185004,0.918136,0.745177,0.360634,0.350292,0.790478,0.029564,-0.00172,3.7998,3.627,8,8
moore,20,0.04,1000,12,0.167006,0.863012,0.591353,0.303548,0.357266,0.705255,0.02954,-0.000353,3.5494,3.6843,11,5
moore,21,0.04,500,12,0.176145,0.821057,0.646573,0.331102,0.343859,0.861581,0.03045,0.070908,3.6762,3.3723,8,5
moore,21,0.04,1000,12,0.164338,0.897394,0.661672,0.340101,0.355661,0.693937,0.029087,0.022646,3.7276,3.6947,8,5
moore,22,0.04,500,12,0.214531,0.880088,0.641637,0.325169,0.357439,0.726434,0.030933,0.010441,3.6114,3.6701,12,5
moore,22,0.04,1000,12,0.150384,0.927293,0.712579,0.38783,0.344076,0.742601,0.029945,0.001007,3.8722,3.5745,10,7
moore,23,0.04,500,12,0.268983,0.855804,0.701785,0.320257,0.401291,0.791204,0.03341,-0.002906,3.5967,3.6794,8,6
moore,23,0.04,1000,12,0.220582,0.940404,0.704849,0.325188,0.360473,0.766232,0.031387,0.0255,3.6331,3.7131,11,7
moore,24,0.04,500,12,0.164422,0.81388,0.692915,0.357754,0.348539,0.857953,0.031043,-0.109186,3.7721,3.4165,12,5
moore,24,0.04,1000,12,0.217076,0.914949,0.716608,0.348081,0.378154,0.752895,0.031287,0.01009,3.7354,3.6794,9,7
moore,25,0.04,500,12,0.178041,0.906862,0.727704,0.350838,0.369927,0.764512,0.029535,-0.027708,3.7727,3.6619,11,6
moore,25,0.04,1000,12,0.202568,0.860469,0.692659,0.345434,0.391803,0.728153,0.030092,0.021235,3.726,3.777,7,7
moore,26,0.04,500,12,0.240316,0.874948,0.712025,0.331123,0.37908,0.842614,0.028737,-0.021833,3.6751,3.4081,9,7
moore,26,0.04,1000,12,0.198749,0.799761,0.665829,0.307794,0.363042,0.707451,0.032041,-0.036878,3.5722,3.6789,10,4
moore,27,0.04,500,12,0.196466,0.891136,0.704878,0.341831,0.356503,0.755453,0.031393,-0.024548,3.7227,3.6163,11,5
moore,27,0.04,1000,12,0.211183,0.933493,0.729951,0.299965,0.366052,0.661423,0.030692,0.010514,3.6078,3.7241,12,7
moore,28,0.04,500,12,0.209204,0.886805,0.754643,0.372593,0.36691,0.802223,0.028985,-0.038239,3.8109,3.5148,6,7
moore,28,0.04,1000,12,0.215434,0.920048,0.724798,0.33166,0.369414,0.842962,0.030111,0.016684,3.6778,3.5172,10,6
moore,29,0.04,500,12,0.155396,0.881796,0.687861,0.354707,0.35101,0.723698,0.030451,0.04897,3.7666,3.5804,11,5
moore,29,0.04,1000,12,0.212883,0.879759,0.67242,0.322837,0.3756,0.737133,0.029159,-0.015084,3.5957,3.5992,10,6
moore,30,0.04,500,12,0.224123,0.879627,0.74106,0.336774,0.355727,0.792832,0.031651,0.049415,3.6817,3.4719,8,9
moore,30,0.04,1000,12,0.15614,0.811591,0.645032,0.322255,0.359671,0.833824,0.029359,-0.046341,3.5967,3.535,13,4
moore,31,0.04,500,12,0.220735,0.8096,0.681416,0.331455,0.36698,0.717301,0.028927,-0.030594,3.6679,3.6361,8,5
moore,31,0.04,1000,12,0.175808,0.885584,0.691324,0.353294,0.348003,0.674054,0.029281,0.004871,3.7134,3.6417,12,6
moore,32,0.04,500,12,0.126865,0.86516,0.653538,0.326718,0.364514,0.847926,0.0312,0.016186,3.6533,3.3591,10,5
moore,32,0.04,1000,12,0.171279,0.853215,0.731045,0.360012,0.373477,0.766764,0.028449,-0.03475,3.7969,3.6583,12,8
moore,33,0.04,500,12,0.196948,0.883021,0.658336,0.320934,0.375563,0.742491,0.029113,-0.027158,3.6226,3.7188,10,5
moore,33,0.04,1000,12,0.140212,0.860074,0.627831,0.334797,0.3386,0.702938,0.028827,-0.0377,3.6929,3.6528,10,4
moore,34,0.04,500,12,0.170419,0.857646,0.699296,0.335102,0.354467,0.780109,0.029777,0.028069,3.693,3.5337,9,7
moore,34,0.04,1000,12,0.159063,0.870982,0.691903,0.314428,0.358673,0.764533,0.0287,0.007729,3.6347,3.49,12,6
moore,35,0.04,500,12,0.19819,0.886116,0.726351,0.350506,0.367313,0.718481,0.032001,0.030552,3.7311,3.7341,8,6
moore,35,0.04,1000,12,0.160902,0.876477,0.721559,0.353437,0.357683,0.88374,0.031924,0.022044,3.7906,3.362,10,7
moore,36,0.04,500,12,0.172577,0.963024,0.7308,0.342976,0.347844,0.853685,0.031185,0.005288,3.7362,3.4856,6,7
moore,36,0.04,1000,12,0.159236,0.82408,0.625244,0.342797,0.353895,0.843538,0.027608,-0.011437,3.6777,3.5718,11,4
moore,37,0.04,500,12,0.223976,0.887973,0.645884,0.315008,0.361029,0.78631,0.029495,-0.083467,3.543,3.511,14,5
moore,37,0.04,1000,12,0.20715,0.78316,0.65124,0.320807,0.368241,0.832316,0.029892,0.108173,3.5827,3.5847,8,4
moore,38,0.04,500,12,0.127108,0.847777,0.610518,0.355013,0.359441,0.83756,0.027625,-0.022459,3.7257,3.3584,10,3
moore,38,0.04,1000,12,0.197235,0.762572,0.678417,0.328213,0.362097,0.820205,0.028824,0.0195,3.6267,3.6047,10,4
moore,39,0.04,500,12,0.16771,0.831771,0.724582,0.381769,0.369344,0.76186,0.029281,-0.035596,3.8322,3.6462,8,7
moore,39,0.04,1000,12,0.160004,0.932671,0.663365,0.324523,0.375459,0.673056,0.028467,-0.013737,3.6724,3.7262,11,6
