connectome,seed,noise,tick,N,K,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_R,mean_T,mean_E,mean_err
c_elegans,10,0.3,1000,448,14,0.170971,0.903789,0.647934,0.313037,0.31467,0.883142,0.117726,0.661082,0.616211,0.128067
c_elegans,11,0.3,1000,448,14,0.186998,0.866511,0.658737,0.326028,0.298645,0.784687,0.129557,0.660707,0.642951,0.117129
c_elegans,12,0.3,1000,448,14,0.189531,0.917793,0.717821,0.324489,0.309371,0.77531,0.133385,0.661109,0.601707,0.116844
c_elegans,13,0.3,1000,448,14,0.186862,0.880559,0.679253,0.339506,0.322503,0.832108,0.154949,0.659494,0.62141,0.116135
c_elegans,14,0.3,1000,448,14,0.178428,0.955348,0.698374,0.338348,0.303154,0.740767,0.134517,0.661329,0.633678,0.121612
c_elegans,15,0.3,1000,448,14,0.205358,0.913601,0.716351,0.344518,0.322131,0.783745,0.144568,0.661905,0.576667,0.116034
c_elegans,16,0.3,1000,448,14,0.178721,0.825887,0.648647,0.33448,0.31329,0.822778,0.127395,0.6581,0.626781,0.108983
c_elegans,17,0.3,1000,448,14,0.214355,0.977535,0.731267,0.34671,0.333901,0.870814,0.142222,0.658216,0.602261,0.11723
c_elegans,18,0.3,1000,448,14,0.161326,0.903865,0.639711,0.334202,0.31492,0.776818,0.125959,0.659019,0.622041,0.117313
c_elegans,19,0.3,1000,448,14,0.201636,0.915426,0.669329,0.326994,0.332344,0.766227,0.146061,0.659288,0.614541,0.112773
c_elegans,20,0.3,1000,448,14,0.184953,0.848206,0.675856,0.335145,0.328405,0.858442,0.132641,0.658264,0.600029,0.119802
