topology,seed,noise,tick,size,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_err,morans_i,entropy,phi_entropy,clusters_05,clusters_07
von_neumann,30,0.04,500,24,0.182953,0.910398,0.711878,0.331907,0.302389,0.701827,0.044777,0.021101,3.7475,3.7424,63,30
von_neumann,30,0.04,1000,24,0.215254,0.865452,0.719663,0.333067,0.305579,0.794535,0.044117,0.029175,3.7153,3.5037,64,28
von_neumann,31,0.04,500,24,0.186228,0.892034,0.700077,0.322823,0.309089,0.779578,0.043082,0.0248,3.6839,3.6458,65,27
von_neumann,31,0.04,1000,24,0.175827,0.92927,0.680416,0.340388,0.299383,0.756025,0.044587,-0.005843,3.772,3.5821,74,25
von_neumann,32,0.04,500,24,0.194923,0.916953,0.697425,0.336346,0.31042,0.806027,0.042341,-0.00719,3.7562,3.5481,68,26
von_neumann,32,0.04,1000,24,0.185802,0.898411,0.719687,0.336396,0.304915,0.640204,0.042653,-0.059667,3.743,3.7727,76,34
von_neumann,33,0.04,500,24,0.189742,0.883851,0.72993,0.347912,0.310082,0.831647,0.043795,0.017257,3.7928,3.5725,70,36
von_neumann,33,0.04,1000,24,0.196233,0.883454,0.704509,0.336827,0.306302,0.796574,0.043719,-0.00819,3.7331,3.6089,70,27
von_neumann,34,0.04,500,24,0.178634,0.91025,0.692156,0.351826,0.309137,0.780988,0.042724,-0.02774,3.8056,3.5645,69,22
von_neumann,34,0.04,1000,24,0.208133,0.9397,0.709731,0.343242,0.307767,0.775511,0.0428,0.00164,3.7735,3.5485,74,29
von_neumann,35,0.04,500,24,0.184453,0.917265,0.70413,0.338461,0.30919,0.806779,0.043119,-0.006065,3.7457,3.5806,72,25
von_neumann,35,0.04,1000,24,0.172381,0.899466,0.657687,0.34513,0.304382,0.928923,0.043342,0.020391,3.767,3.3393,69,18
von_neumann,36,0.04,500,24,0.201363,0.900583,0.69672,0.33175,0.314852,0.865029,0.043587,-0.022395,3.7328,3.5159,76,25
von_neumann,36,0.04,1000,24,0.177439,0.92565,0.694937,0.348145,0.309223,0.825028,0.044133,0.0182,3.8003,3.5295,68,26
von_neumann,37,0.04,500,24,0.198522,0.928023,0.706105,0.322473,0.30235,0.789613,0.04252,0.021593,3.7042,3.6345,72,30
von_neumann,37,0.04,1000,24,0.155992,0.87413,0.661773,0.339197,0.306652,0.814823,0.042322,-0.025611,3.7498,3.5863,74,22
von_neumann,38,0.04,500,24,0.175946,0.942522,0.694972,0.346207,0.297369,0.799692,0.04356,0.013019,3.7951,3.5589,69,24
von_neumann,38,0.04,1000,24,0.178702,0.938149,0.706642,0.333768,0.304061,0.801949,0.044247,-0.000935,3.7622,3.5435,66,28
von_neumann,39,0.04,500,24,0.167663,0.846668,0.681124,0.344174,0.315837,0.793429,0.041408,-0.014787,3.7763,3.6003,65,23
von_neumann,39,0.04,1000,24,0.191076,0.876716,0.668252,0.33399,0.296289,0.775935,0.045561,-0.002891,3.7284,3.5706,78,21
von_neumann,40,0.04,500,24,0.182821,0.988045,0.696754,0.354746,0.300128,0.77812,0.043283,-0.019946,3.8085,3.5553,78,28
von_neumann,40,0.04,1000,24,0.155947,0.893515,0.674224,0.347247,0.306204,0.867376,0.043092,-0.003523,3.79,3.4496,70,22
von_neumann,41,0.04,500,24,0.199777,0.853935,0.711572,0.339206,0.298342,0.752587,0.043676,-0.076009,3.7437,3.6532,73,29
von_neumann,41,0.04,1000,24,0.181994,0.943102,0.724251,0.355748,0.309255,0.758093,0.042662,0.022584,3.8262,3.6727,61,31
von_neumann,42,0.04,500,24,0.193178,0.894409,0.69961,0.331543,0.315979,0.774514,0.043452,-0.020728,3.742,3.6325,64,28
von_neumann,42,0.04,1000,24,0.172201,0.903422,0.706651,0.347354,0.302182,0.738031,0.043274,0.015165,3.8006,3.6149,71,27
von_neumann,43,0.04,500,24,0.20352,0.877977,0.719992,0.333655,0.301689,0.755423,0.044103,0.054669,3.732,3.6495,65,26
von_neumann,43,0.04,1000,24,0.166264,0.89937,0.693105,0.344596,0.309509,0.845446,0.042356,0.021158,3.7804,3.5105,68,24
von_neumann,44,0.04,500,24,0.186262,0.927499,0.698897,0.347364,0.307392,0.773439,0.042894,0.00761,3.7897,3.6063,68,27
von_neumann,44,0.04,1000,24,0.184326,0.930942,0.705523,0.33934,0.311664,0.827993,0.042789,0.056087,3.7665,3.548,63,27
von_neumann,45,0.04,500,24,0.178214,0.920276,0.662659,0.33803,0.29417,0.81087,0.043588,-0.02034,3.7362,3.5283,64,19
von_neumann,45,0.04,1000,24,0.190654,0.892446,0.734242,0.358238,0.307537,0.831552,0.044049,-0.02982,3.8223,3.5036,76,34
von_neumann,46,0.04,500,24,0.181261,0.906538,0.673054,0.326395,0.297748,0.789581,0.0442,-0.028958,3.6934,3.5242,71,22
von_neumann,46,0.04,1000,24,0.186727,0.889429,0.699827,0.336004,0.30013,0.70779,0.042747,0.014241,3.7403,3.6301,67,26
von_neumann,47,0.04,500,24,0.177994,0.90977,0.70056,0.343362,0.300265,0.778321,0.043482,-0.040239,3.7933,3.5933,70,30
von_neumann,47,0.04,1000,24,0.204219,0.893548,0.683802,0.323938,0.309474,0.77321,0.043685,0.064219,3.6934,3.6339,72,23
von_neumann,48,0.04,500,24,0.172287,0.959592,0.709596,0.335398,0.300279,0.799932,0.04288,-0.011987,3.7553,3.5176,65,30
von_neumann,48,0.04,1000,24,0.187356,0.879333,0.674592,0.323186,0.305752,0.749072,0.04326,-0.061639,3.6979,3.6309,64,19
von_neumann,49,0.04,500,24,0.212876,0.936811,0.72987,0.338197,0.310617,0.759036,0.044632,0.035679,3.7592,3.6566,78,33
von_neumann,49,0.04,1000,24,0.183422,0.938987,0.674373,0.337577,0.304438,0.820644,0.043177,0.027297,3.7413,3.5289,53,19
von_neumann,50,0.04,500,24,0.179465,0.907766,0.69339,0.349578,0.307408,0.75739,0.043303,0.043978,3.7916,3.6764,73,25
von_neumann,50,0.04,1000,24,0.192014,0.884148,0.714855,0.355661,0.311497,0.807414,0.04167,0.037622,3.7883,3.6184,71,33
moore,1,0.04,500,24,0.213025,0.892257,0.705065,0.338931,0.366075,0.863427,0.029858,-0.005756,3.7426,3.5037,39,30
moore,1,0.04,1000,24,0.180247,0.938996,0.707315,0.326632,0.361847,0.814335,0.03086,0.004221,3.7237,3.5135,45,23
moore,2,0.04,500,24,0.149889,0.876706,0.659273,0.345222,0.352099,0.752309,0.030027,0.002911,3.7815,3.633,41,17
moore,2,0.04,1000,24,0.206339,0.949814,0.711568,0.331819,0.371422,0.920967,0.029949,-0.013287,3.7354,3.4652,45,19
moore,3,0.04,500,24,0.199645,0.910165,0.710078,0.330671,0.365754,0.878381,0.030705,-0.004486,3.7253,3.4852,53,32
moore,3,0.04,1000,24,0.163619,0.899525,0.707099,0.347777,0.343612,0.730413,0.030205,-0.020372,3.8038,3.6572,46,24
moore,4,0.04,500,24,0.196502,0.929545,0.714604,0.341628,0.358438,0.73698,0.030032,-0.006977,3.7725,3.6737,41,27
moore,4,0.04,1000,24,0.180918,0.884964,0.681723,0.339384,0.351764,0.838001,0.029209,-0.020439,3.7453,3.5131,47,21
moore,5,0.04,500,24,0.163604,0.983137,0.669755,0.333571,0.362317,0.807572,0.02924,-0.009639,3.7517,3.566,51,20
moore,5,0.04,1000,24,0.16907,0.94583,0.694114,0.352654,0.356076,0.805471,0.029698,0.010284,3.7929,3.5712,38,22
moore,6,0.04,500,24,0.196072,0.923095,0.721075,0.33885,0.366167,0.807923,0.029506,-0.014737,3.7732,3.5676,37,33
moore,6,0.04,1000,24,0.196121,0.932913,0.691382,0.33296,0.362159,0.78986,0.029822,0.002836,3.7342,3.6101,42,19
moore,7,0.04,500,24,0.197184,0.92136,0.698994,0.334002,0.363383,0.883138,0.030156,0.003059,3.7209,3.5012,42,24
moore,7,0.04,1000,24,0.16985,0.939627,0.705917,0.336505,0.349753,0.765502,0.030605,0.041156,3.7624,3.5393,40,21
moore,8,0.04,500,24,0.199587,0.924505,0.719601,0.341206,0.366182,0.901212,0.030374,-0.020994,3.7758,3.4568,45,27
moore,8,0.04,1000,24,0.184742,0.867718,0.668612,0.33673,0.348381,0.834514,0.030684,-0.021548,3.7355,3.4462,43,21
moore,9,0.04,500,24,0.209385,0.893569,0.706327,0.334863,0.362446,0.81238,0.030735,0.001381,3.7396,3.5862,42,24
moore,9,0.04,1000,24,0.191221,0.884276,0.700893,0.333411,0.354602,0.856056,0.030389,-0.003498,3.7391,3.5457,40,26
moore,10,0.04,500,24,0.194757,0.944619,0.694395,0.325035,0.358662,0.798281,0.03068,0.003383,3.715,3.5672,49,22
moore,10,0.04,1000,24,0.201475,0.879172,0.664623,0.33515,0.35948,0.769708,0.029595,0.010334,3.7226,3.6491,47,19
moore,11,0.04,500,24,0.186369,0.929395,0.703808,0.337047,0.363558,0.859686,0.030174,-0.011116,3.7518,3.5091,39,25
moore,11,0.04,1000,24,0.218264,0.90979,0.734143,0.340969,0.366253,0.847327,0.031135,-0.015849,3.7535,3.5425,43,36
moore,12,0.04,500,24,0.184687,0.90933,0.679396,0.324205,0.355805,0.734505,0.030032,0.001336,3.6995,3.6693,48,23
moore,12,0.04,1000,24,0.181084,0.92573,0.689743,0.340159,0.363165,0.879355,0.029843,-0.014162,3.7572,3.4649,49,22
moore,13,0.04,500,24,0.22416,0.951036,0.743096,0.339502,0.368077,0.821865,0.030189,0.036743,3.7483,3.5764,40,31
